'TrafficShaping.certificate_value_on_H8_m3_B4_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H8_m3_B5_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.fullInputEnum_eq_univ' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.noncausalBudget_eq_of_adjacent_certificates' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.offScheduleEnum_eq_univ' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.off_certificate_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.onScheduleEnum_eq_univ' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.on_certificate_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.qualitative_causal_loss_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.qualitative_causality_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.table2_H16_half_attainable_accuracy' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.table2_row_1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.table2_row_2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.table2_row_3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.table2_row_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.table2_row_5' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.table2_row_6' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.table2_row_7' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.table2_row_8' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.table2_row_9' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.table3_row_1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.table3_row_2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.table3_row_3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.table3_row_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.table3_row_5' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.table3_row_6' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.table3_row_7' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.table3_row_8' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.finiteChecked_true_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.rowsCheckedOnFinset_partition' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.colsCheckedOnFinset_partition' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.optimizedOnScheduleEnum_eq_univ' depends on axioms: [propext, Classical.choice, Quot.sound]
